z,x,y
72,98,80
311,106,138
435,81,139
281,79,90
627,89,75
765,100,38
62,116,151
78,76,77
417,92,67
717,73,85
169,72,138
329,84,125
102,62,142
602,93,129
419,71,52
116,85,83
157,107,140
681,82,67
43,96,127
138,101,135
302,94,95
557,84,91
673,94,160
632,82,168
533,102,41
110,96,128
270,50,155
125,67,112
256,62,119
510,93,40
358,96,82
156,87,142
161,85,86
344,101,70
748,65,136
719,113,40
25,80,74
217,86,145
714,92,146
53,78,99
151,91,141
376,107,50
613,96,66
148,73,89
183,82,131
308,82,81
259,95,142
159,21,157
787,86,90
51,73,157
389,89,93
665,63,130
522,95,77
168,53,109
773,84,128
786,75,93
148,58,153
755,81,99
470,68,85
681,73,90
359,103,33
674,78,69
15,81,132
729,72,132
504,89,97
773,87,106
772,72,90
449,102,69
252,90,147
153,65,78
279,118,75
114,60,75
73,54,168
734,89,134
121,68,71
78,93,103
67,80,80
297,64,153
32,48,161
105,43,156
59,92,98
672,65,97
713,75,50
569,97,64
136,77,81
730,73,159
199,71,107
380,89,105
564,81,152
27,48,162
546,88,82
303,84,131
632,96,151
267,74,158
106,93,87
615,78,101
291,73,144
162,32,70
358,74,117
390,111,59
183,97,156
596,70,78
535,78,62
771,68,137
620,94,156
694,66,94
67,87,142
263,71,141
672,74,140
243,79,147
772,95,95
777,77,98
713,73,137
757,86,137
311,87,84
44,35,164
336,80,103
141,80,137
279,112,137
781,73,149
240,86,91
608,93,136
714,80,134
390,86,171
276,81,72
446,90,85
789,71,83
90,95,84
655,100,152
335,88,149
687,87,122
51,68,94
647,96,67
657,75,119
740,86,78
398,89,72
449,95,55
200,97,133
707,77,127
678,86,128
714,69,123
725,82,86
221,92,135
445,84,120
146,80,85
150,94,72
83,80,125
509,72,173
228,85,127
668,81,88
507,101,170
90,56,148
505,80,173
457,115,177
726,58,62
499,106,71
256,82,95
320,93,122
573,96,98
459,103,179
239,73,76
746,91,81
706,66,103
780,72,109
780,79,82
704,84,83
770,83,144
307,80,112
551,110,59
765,69,161
677,83,88
203,87,119
139,113,85
384,99,44
727,84,132
106,73,73
777,77,83
764,78,88
139,64,111
163,68,145
717,61,142
273,37,51
441,90,131
520,82,128
607,107,54
722,94,138
192,94,79
110,55,123
83,89,138
664,86,86
577,92,141
313,58,79
717,74,77
728,58,143
646,100,70
463,77,113
204,111,159
189,91,85
149,105,55
189,49,73
145,77,141
450,100,27
459,113,167
88,45,171
280,85,101
537,91,150
127,95,117
461,103,169
204,89,142
66,98,123
557,65,63
434,114,174
30,89,159
271,78,145
225,63,68
297,81,85
685,110,162
342,97,175
171,90,87
558,80,159
273,82,89
526,84,52
504,70,132
49,79,98
618,83,131
88,106,142
469,85,125
284,101,129
705,71,86
140,68,124
185,84,152
53,78,90
213,78,114
196,84,137
337,103,160
88,76,143
442,99,87
690,78,88
129,66,77
379,79,84
694,100,154
147,72,71
190,65,157
68,74,138
264,107,84
146,99,139
83,71,138
67,83,130
225,81,121
273,87,76
329,89,80
719,59,87
673,86,140
716,99,72
485,64,63
553,76,52
392,101,193
505,93,73
702,66,116
472,103,147
173,116,89
103,76,63
120,68,132
196,78,134
520,78,73
60,80,156
473,105,157
468,102,153
450,104,57
272,66,105
82,113,136
327,24,45
653,98,147
286,87,131
533,91,164
381,110,160
67,66,77
3,91,86
682,75,85
384,81,158
530,72,54
225,77,81
447,105,64
366,73,83
570,99,157
784,83,124
137,58,161
347,94,64
336,103,71
656,72,136
277,105,144
90,84,77
100,81,125
514,105,183
752,94,79
249,90,84
279,75,112
275,87,78
626,81,115
269,91,134
134,68,103
13,56,168
223,82,92
286,74,131
423,90,197
563,110,47
133,92,142
504,98,140
471,110,33
324,100,163
229,77,70
768,85,90
442,72,66
704,104,144
295,99,100
764,87,67
70,75,157
100,47,140
654,68,132
438,77,79
469,84,64
221,91,135
496,116,170
158,77,126
284,98,99
70,67,75
449,98,173
343,67,155
764,79,98
561,99,164
320,76,70
768,76,140
786,67,148
134,59,76
605,101,56
183,78,151
702,84,131
444,110,178
169,70,81
456,109,45
37,98,78
100,116,170
70,80,143
539,76,160
734,70,142
417,95,194
124,44,152
789,104,64
674,73,103
412,105,178
565,113,178
405,71,109
275,49,148
733,93,147
282,73,91
373,102,73
594,71,143
733,77,83
81,87,140
313,59,69
552,97,138
441,79,145
346,112,151
390,89,175
421,77,140
270,59,143
463,102,61
244,77,70
480,112,48
694,79,132
350,81,89
765,53,141
131,90,144
701,66,147
80,76,166
518,86,180
205,75,126
362,105,171
136,109,143
399,120,175
533,86,99
300,77,150
349,89,125
545,41,141
729,74,131
572,91,185
393,56,50
284,69,84
214,94,103
271,109,91
653,81,95
500,95,170
147,66,170
747,73,82
141,41,157
500,81,38
322,110,139
526,92,150
597,96,179
276,68,75
334,93,50
770,75,67
122,64,84
230,66,151
178,70,147
511,97,95
713,70,133
314,51,145
515,98,171
431,62,147
734,69,101
347,85,66
744,85,118
4,83,87
314,98,77
195,61,87
693,70,139
282,43,153
5,79,57
168,88,73
711,75,88
744,51,143
293,102,133
379,108,54
518,81,36
443,102,35
208,105,154
490,86,164
334,98,100
242,80,143
0,87,85
26,64,123
256,74,134
685,81,69
80,43,160
632,33,63
58,73,107
451,119,52
394,102,77
105,52,72
659,84,140
704,58,92
223,82,170
465,111,173
775,78,86
226,34,182
290,58,81
202,95,118
726,85,88
269,69,56
26,81,99
328,47,80
650,89,90
204,82,139
695,69,137
182,85,137
460,100,147
141,52,105
530,104,159
681,95,80
538,88,124
755,76,118
512,94,39
27,42,65
482,101,163
703,64,73
769,96,65
69,46,68
201,126,160
388,94,84
439,91,89
174,42,44
667,68,116
739,85,126
125,48,66
728,73,113
149,96,85
466,99,176
359,120,144
429,73,163
225,123,146
481,102,181
168,11,152
432,86,127
348,99,159
356,91,79
209,91,145
707,110,190
475,104,36
306,64,81
232,108,82
144,71,131
324,95,124
440,111,60
748,72,105
314,69,137
657,78,124
182,98,141
51,72,118
557,100,57
713,83,98
223,96,138
126,90,104
319,94,125
701,81,145
253,67,142
464,87,75
207,55,144
586,65,163
288,58,163
32,90,146
727,74,125
578,96,44
225,117,149
291,39,162
665,112,161
253,108,148
251,82,90
114,90,140
113,70,144
536,74,118
238,94,101
600,79,114
310,65,97
636,96,168
526,75,116
484,89,37
487,81,139
433,72,149
688,79,133
714,93,97
638,57,144
663,106,22
67,44,152
669,97,53
274,86,98
475,98,78
218,68,148
97,69,67
207,19,161
788,71,129
473,100,133
686,77,83
365,97,103
330,82,99
444,100,149
736,78,97
179,86,73
494,90,33
141,70,142
133,91,89
641,96,94
363,93,96
66,81,81
546,95,154
670,88,85
512,100,157
446,92,63
449,64,159
321,70,88
115,71,72
745,52,152
395,95,64
236,84,133
182,110,139
663,77,131
37,108,136
73,102,71
112,70,80
738,72,142
727,69,73
788,51,144
338,118,62
733,80,88
12,68,131
764,81,92
142,109,89
138,83,77
61,99,91
480,78,109
332,88,76
113,85,94
244,104,139
161,80,78
715,74,139
522,84,142
427,85,59
544,93,184
355,89,173
133,76,176
712,82,145
477,114,175
728,50,95
85,46,77
65,66,74
299,78,89
602,81,160
704,43,136
637,92,159
566,109,57
430,90,58
633,76,51
79,105,130
360,103,163
597,76,156
432,85,144
90,92,101
377,80,89
554,94,56
136,109,137
528,98,80
629,77,120
559,113,170
369,97,172
240,95,115
700,82,81
292,62,72
479,103,171
617,91,126
561,91,53
467,113,191
489,115,47
699,72,94
694,68,93
167,83,131
558,80,65
251,89,146
477,57,64
442,109,169
338,93,69
123,59,116
763,99,160
67,76,82
713,68,94
141,87,74
252,47,77
724,67,93
397,93,167
68,85,101
752,71,123
193,82,128
175,67,104
606,107,175
52,88,146
288,89,125
770,72,69
497,99,163
225,36,64
563,76,143
302,80,123
249,72,72
235,63,78
748,68,79
156,49,161
481,95,96
351,96,146
334,123,165
150,96,96
696,67,145
337,83,99
361,90,123
150,77,146
640,74,151
329,106,69
105,83,65
423,98,83
640,71,98
672,97,78
662,82,73
344,91,91
576,84,140
244,81,74
166,96,151
246,62,82
63,59,110
466,78,135
511,75,135
227,78,136
335,90,60
530,101,49
557,77,145
438,106,38
751,71,138
347,70,128
54,75,143
346,88,146
597,94,127
73,57,79
620,79,62
183,45,75
789,76,86
540,81,126
469,69,143
293,41,146
430,89,100
440,88,172
92,93,79
495,95,153
10,57,168
116,104,177
743,88,84
122,72,80
404,93,86
187,91,58
493,89,78
270,64,85
366,78,142
477,81,138
175,116,91
80,120,137
380,93,102
709,96,80
327,95,169
374,94,169
610,75,73
742,67,82
172,87,135
225,89,164
597,79,133
735,65,110
572,98,158
402,101,131
445,88,145
750,75,66
339,116,165
153,82,140
692,72,151
210,58,73
715,22,88
58,79,126
154,53,151
101,49,140
561,73,135
751,66,83
246,87,85
664,89,65
274,94,78
203,51,143
465,104,97
627,88,99
563,79,177
297,70,81
696,78,135
511,81,157
325,104,143
547,80,91
99,90,142
289,68,73
410,89,181
617,92,132
330,75,132
274,69,92
531,91,158
240,71,93
391,88,188
530,96,57
109,78,71
329,90,131
667,48,79
771,103,135
281,57,112
740,110,67
288,89,131
463,82,155
737,81,152
498,101,150
212,67,141
103,69,153
87,84,146
660,78,72
350,89,107
313,65,116
371,90,140
550,101,154
544,98,66
633,114,172
749,87,102
102,66,142
541,106,45
98,74,135
640,106,64
271,84,85
287,49,159
562,88,66
598,62,80
432,86,81
68,59,110
50,94,125
711,71,67
512,97,45
420,93,71
78,74,125
123,84,102
249,115,146
141,90,98
383,108,75
106,115,84
262,103,95
566,90,132
413,93,61
147,85,137
686,94,160
713,70,83
242,75,145
37,94,74
711,88,145
600,93,152
137,89,121
470,103,25
111,87,144
89,83,148
369,76,36
336,87,171
663,99,149
649,81,88
534,76,110
440,117,189
613,75,160
431,111,165
700,82,93
265,71,84
624,96,180
452,63,153
402,87,90
580,88,162
479,99,170
779,72,98
713,82,133
550,97,79
97,85,86
250,82,135
670,41,59
755,53,135
397,114,173
513,75,91
503,97,131
241,117,141
680,90,70
117,66,73
530,83,148
576,79,63
623,93,57
200,81,101
113,62,81
680,98,65
186,62,87
734,76,142
97,72,81
191,77,82
683,81,146
703,79,60
431,72,69
401,111,35
140,67,97
520,98,87
207,88,79
155,94,94
372,45,72
108,81,148
758,75,129
787,66,114
180,92,147
85,46,28
382,100,73
172,88,89
56,92,76
71,70,121
126,86,134
260,86,119
134,69,82
238,58,158
515,94,169
711,87,140
440,113,54
672,77,71
465,96,133
64,77,72
76,72,139
254,102,147
454,78,78
678,76,176
62,87,87
754,73,78
221,85,157
695,90,133
620,101,64
432,76,74
538,86,76
331,101,80
141,108,140
157,75,142
548,94,135
759,71,139
472,114,183
619,71,153
773,69,139
621,62,75
622,90,90
738,74,94
732,76,140
465,73,55
764,82,143
499,78,153
279,118,77
508,88,109
677,77,90
133,74,90
59,44,93
463,107,168
149,56,119
242,57,144
682,86,128
42,72,63
15,83,74
583,90,93
693,52,86
