,z,x,y,population_key
423,450,116,183,V2a_Cord1
424,450,112,164,V2a_Cord1
425,450,114,178,V2a_Cord1
426,450,112,171,V2a_Cord1
427,450,107,159,V2a_Cord1
428,450,112,174,V2a_Cord1
429,450,102,157,V2a_Cord1
430,450,102,157,V2a_Cord1
431,450,100,154,V2a_Cord1
432,450,102,162,V2a_Cord1
433,450,97,153,V2a_Cord1
434,450,96,151,V2a_Cord1
435,450,89,147,V2a_Cord1
436,450,88,148,V2a_Cord1
437,450,87,144,V2a_Cord1
438,450,92,130,V2a_Cord1
439,450,81,144,V2a_Cord1
440,450,74,146,V2a_Cord1
441,450,116,36,V2a_Cord1
442,450,91,126,V2a_Cord1
443,450,75,144,V2a_Cord1
444,450,96,76,V2a_Cord1
445,450,111,45,V2a_Cord1
446,450,113,35,V2a_Cord1
447,450,92,98,V2a_Cord1
448,450,92,106,V2a_Cord1
449,450,91,96,V2a_Cord1
450,450,87,91,V2a_Cord1
451,450,108,42,V2a_Cord1
452,450,86,93,V2a_Cord1
453,450,85,99,V2a_Cord1
454,450,105,46,V2a_Cord1
455,450,96,64,V2a_Cord1
456,450,106,42,V2a_Cord1
457,450,107,32,V2a_Cord1
458,450,78,85,V2a_Cord1
459,450,80,97,V2a_Cord1
460,450,76,89,V2a_Cord1
461,450,76,88,V2a_Cord1
462,450,103,44,V2a_Cord1
463,450,104,38,V2a_Cord1
464,450,102,45,V2a_Cord1
465,450,76,99,V2a_Cord1
466,450,104,33,V2a_Cord1
467,450,96,56,V2a_Cord1
468,450,103,33,V2a_Cord1
469,450,97,52,V2a_Cord1
470,450,98,49,V2a_Cord1
471,450,97,52,V2a_Cord1
472,450,66,92,V2a_Cord1
473,450,87,66,V2a_Cord1
474,450,75,76,V2a_Cord1
475,450,79,74,V2a_Cord1
476,450,61,80,V2a_Cord1
477,450,74,74,V2a_Cord1
478,450,61,104,V2a_Cord1
479,450,61,78,V2a_Cord1
480,450,61,78,V2a_Cord1
481,450,61,76,V2a_Cord1
482,450,62,73,V2a_Cord1
483,450,81,32,V2a_Cord1
484,452,121,178,V2a_Cord1
485,452,117,182,V2a_Cord1
486,452,113,171,V2a_Cord1
487,452,114,178,V2a_Cord1
488,452,109,166,V2a_Cord1
489,452,104,155,V2a_Cord1
490,452,106,162,V2a_Cord1
491,452,105,161,V2a_Cord1
492,452,103,156,V2a_Cord1
493,452,108,173,V2a_Cord1
494,452,99,145,V2a_Cord1
495,452,96,147,V2a_Cord1
496,452,96,135,V2a_Cord1
497,452,98,152,V2a_Cord1
498,452,104,181,V2a_Cord1
499,452,114,37,V2a_Cord1
500,452,97,154,V2a_Cord1
501,452,93,148,V2a_Cord1
502,452,90,143,V2a_Cord1
503,452,95,81,V2a_Cord1
504,452,97,158,V2a_Cord1
505,452,95,78,V2a_Cord1
506,452,109,47,V2a_Cord1
507,452,93,153,V2a_Cord1
508,452,92,128,V2a_Cord1
509,452,97,185,V2a_Cord1
510,452,96,162,V2a_Cord1
511,452,107,33,V2a_Cord1
512,452,82,146,V2a_Cord1
513,452,103,57,V2a_Cord1
514,452,80,146,V2a_Cord1
515,452,90,92,V2a_Cord1
516,452,89,92,V2a_Cord1
517,452,89,121,V2a_Cord1
518,452,95,45,V2a_Cord1
519,452,91,72,V2a_Cord1
520,452,96,47,V2a_Cord1
521,452,76,133,V2a_Cord1
522,452,92,56,V2a_Cord1
523,452,92,47,V2a_Cord1
524,452,89,64,V2a_Cord1
525,452,84,95,V2a_Cord1
526,452,85,72,V2a_Cord1
527,452,87,60,V2a_Cord1
528,452,81,34,V2a_Cord1
529,452,81,102,V2a_Cord1
530,452,77,65,V2a_Cord1
531,452,76,94,V2a_Cord1
532,452,71,79,V2a_Cord1
533,452,76,71,V2a_Cord1
534,452,69,79,V2a_Cord1
535,452,69,90,V2a_Cord1
536,452,61,79,V2a_Cord1
537,452,59,79,V2a_Cord1
538,452,55,77,V2a_Cord1
539,454,119,156,V2a_Cord1
540,454,117,52,V2a_Cord1
541,454,115,158,V2a_Cord1
542,454,115,34,V2a_Cord1
543,454,109,62,V2a_Cord1
544,454,114,163,V2a_Cord1
545,454,110,53,V2a_Cord1
546,454,102,71,V2a_Cord1
547,454,110,40,V2a_Cord1
548,454,107,55,V2a_Cord1
549,454,105,150,V2a_Cord1
550,454,107,155,V2a_Cord1
551,454,103,55,V2a_Cord1
552,454,117,181,V2a_Cord1
553,454,100,59,V2a_Cord1
554,454,117,179,V2a_Cord1
555,454,109,160,V2a_Cord1
556,454,117,189,V2a_Cord1
557,454,98,59,V2a_Cord1
558,454,98,53,V2a_Cord1
559,454,111,165,V2a_Cord1
560,454,96,63,V2a_Cord1
561,454,90,87,V2a_Cord1
562,454,109,162,V2a_Cord1
563,454,97,40,V2a_Cord1
564,454,94,65,V2a_Cord1
565,454,89,89,V2a_Cord1
566,454,93,45,V2a_Cord1
567,454,92,58,V2a_Cord1
568,454,93,49,V2a_Cord1
569,454,110,172,V2a_Cord1
570,454,93,134,V2a_Cord1
571,454,87,54,V2a_Cord1
572,454,87,59,V2a_Cord1
573,454,91,139,V2a_Cord1
574,454,91,125,V2a_Cord1
575,454,105,164,V2a_Cord1
576,454,78,65,V2a_Cord1
577,454,77,68,V2a_Cord1
578,454,82,93,V2a_Cord1
579,454,86,130,V2a_Cord1
580,454,65,79,V2a_Cord1
581,454,81,131,V2a_Cord1
582,454,72,71,V2a_Cord1
583,454,66,77,V2a_Cord1
584,454,79,133,V2a_Cord1
585,454,94,158,V2a_Cord1
586,454,65,87,V2a_Cord1
587,454,56,75,V2a_Cord1
588,454,100,182,V2a_Cord1
589,454,59,145,V2a_Cord1
590,454,99,186,V2a_Cord1
591,454,79,158,V2a_Cord1
592,454,85,192,V2a_Cord1
593,456,110,165,V2a_Cord1
594,456,116,179,V2a_Cord1
595,456,115,52,V2a_Cord1
596,456,101,153,V2a_Cord1
597,456,109,169,V2a_Cord1
598,456,113,177,V2a_Cord1
599,456,96,142,V2a_Cord1
600,456,97,146,V2a_Cord1
601,456,114,37,V2a_Cord1
602,456,111,52,V2a_Cord1
603,456,97,77,V2a_Cord1
604,456,95,147,V2a_Cord1
605,456,99,73,V2a_Cord1
606,456,107,170,V2a_Cord1
607,456,90,85,V2a_Cord1
608,456,96,68,V2a_Cord1
609,456,103,51,V2a_Cord1
610,456,100,61,V2a_Cord1
611,456,103,48,V2a_Cord1
612,456,79,139,V2a_Cord1
613,456,100,40,V2a_Cord1
614,456,96,52,V2a_Cord1
615,456,94,61,V2a_Cord1
616,456,95,28,V2a_Cord1
617,456,94,53,V2a_Cord1
618,456,99,184,V2a_Cord1
619,456,91,32,V2a_Cord1
620,456,89,63,V2a_Cord1
621,456,98,188,V2a_Cord1
622,456,89,35,V2a_Cord1
623,456,91,183,V2a_Cord1
624,456,83,65,V2a_Cord1
625,456,81,101,V2a_Cord1
626,456,57,80,V2a_Cord1
627,456,56,77,V2a_Cord1
628,458,113,57,V2a_Cord1
629,458,114,49,V2a_Cord1
630,458,116,165,V2a_Cord1
631,458,118,169,V2a_Cord1
632,458,107,59,V2a_Cord1
633,458,118,171,V2a_Cord1
634,458,107,47,V2a_Cord1
635,458,112,165,V2a_Cord1
636,458,117,171,V2a_Cord1
637,458,106,157,V2a_Cord1
638,458,96,77,V2a_Cord1
639,458,116,173,V2a_Cord1
640,458,96,142,V2a_Cord1
641,458,107,162,V2a_Cord1
642,458,100,152,V2a_Cord1
643,458,89,93,V2a_Cord1
644,458,93,140,V2a_Cord1
645,458,117,178,V2a_Cord1
646,458,97,57,V2a_Cord1
647,458,97,51,V2a_Cord1
648,458,101,155,V2a_Cord1
649,458,112,170,V2a_Cord1
650,458,88,82,V2a_Cord1
651,458,91,130,V2a_Cord1
652,458,110,169,V2a_Cord1
653,458,88,136,V2a_Cord1
654,458,87,71,V2a_Cord1
655,458,88,142,V2a_Cord1
656,458,85,141,V2a_Cord1
657,458,84,124,V2a_Cord1
658,458,84,67,V2a_Cord1
659,458,104,166,V2a_Cord1
660,458,81,130,V2a_Cord1
661,458,80,75,V2a_Cord1
662,458,78,72,V2a_Cord1
663,458,112,183,V2a_Cord1
664,458,76,141,V2a_Cord1
665,458,74,136,V2a_Cord1
666,458,74,145,V2a_Cord1
667,458,74,130,V2a_Cord1
668,458,82,100,V2a_Cord1
669,458,70,77,V2a_Cord1
670,458,82,105,V2a_Cord1
671,458,65,79,V2a_Cord1
672,458,70,148,V2a_Cord1
673,458,72,126,V2a_Cord1
674,458,68,127,V2a_Cord1
675,458,40,72,V2a_Cord1
676,458,90,192,V2a_Cord1
677,460,111,76,V2a_Cord1
678,460,117,51,V2a_Cord1
679,460,115,54,V2a_Cord1
680,460,113,40,V2a_Cord1
681,460,111,47,V2a_Cord1
682,460,121,164,V2a_Cord1
683,460,106,42,V2a_Cord1
684,460,117,167,V2a_Cord1
685,460,102,63,V2a_Cord1
686,460,104,46,V2a_Cord1
687,460,103,39,V2a_Cord1
688,460,103,59,V2a_Cord1
689,460,102,60,V2a_Cord1
690,460,114,168,V2a_Cord1
691,460,101,50,V2a_Cord1
692,460,101,57,V2a_Cord1
693,460,98,67,V2a_Cord1
694,460,112,168,V2a_Cord1
695,460,93,37,V2a_Cord1
696,460,97,61,V2a_Cord1
697,460,107,161,V2a_Cord1
698,460,90,72,V2a_Cord1
699,460,117,183,V2a_Cord1
700,460,100,151,V2a_Cord1
701,460,115,179,V2a_Cord1
702,460,102,154,V2a_Cord1
703,460,82,93,V2a_Cord1
704,460,82,94,V2a_Cord1
705,460,104,156,V2a_Cord1
706,460,115,179,V2a_Cord1
707,460,109,165,V2a_Cord1
708,460,84,102,V2a_Cord1
709,460,107,163,V2a_Cord1
710,460,106,161,V2a_Cord1
711,460,84,129,V2a_Cord1
712,460,82,100,V2a_Cord1
713,460,98,151,V2a_Cord1
714,460,75,90,V2a_Cord1
715,460,111,174,V2a_Cord1
716,460,83,133,V2a_Cord1
717,460,106,164,V2a_Cord1
718,460,81,103,V2a_Cord1
719,460,110,179,V2a_Cord1
720,460,98,154,V2a_Cord1
721,460,101,158,V2a_Cord1
722,460,58,82,V2a_Cord1
723,460,74,126,V2a_Cord1
724,460,104,187,V2a_Cord1
725,460,101,182,V2a_Cord1
726,460,98,193,V2a_Cord1
727,462,113,163,V2a_Cord1
728,462,113,172,V2a_Cord1
729,462,113,175,V2a_Cord1
730,462,108,162,V2a_Cord1
731,462,110,168,V2a_Cord1
732,462,107,163,V2a_Cord1
733,462,112,177,V2a_Cord1
734,462,113,183,V2a_Cord1
735,462,113,183,V2a_Cord1
736,462,112,191,V2a_Cord1
737,462,113,68,V2a_Cord1
738,462,111,185,V2a_Cord1
739,462,109,175,V2a_Cord1
740,462,120,47,V2a_Cord1
741,462,107,169,V2a_Cord1
742,462,107,169,V2a_Cord1
743,462,107,178,V2a_Cord1
744,462,102,83,V2a_Cord1
745,462,105,169,V2a_Cord1
746,462,105,171,V2a_Cord1
747,462,101,159,V2a_Cord1
748,462,104,169,V2a_Cord1
749,462,102,163,V2a_Cord1
750,462,105,186,V2a_Cord1
751,462,101,165,V2a_Cord1
752,462,104,182,V2a_Cord1
753,462,104,189,V2a_Cord1
754,462,94,135,V2a_Cord1
755,462,99,163,V2a_Cord1
756,462,110,52,V2a_Cord1
757,462,94,130,V2a_Cord1
758,462,108,54,V2a_Cord1
759,462,105,59,V2a_Cord1
760,462,87,150,V2a_Cord1
761,462,106,58,V2a_Cord1
762,462,93,94,V2a_Cord1
763,462,91,162,V2a_Cord1
764,462,80,143,V2a_Cord1
765,462,91,92,V2a_Cord1
766,462,101,66,V2a_Cord1
767,462,101,65,V2a_Cord1
768,462,76,142,V2a_Cord1
769,462,102,63,V2a_Cord1
770,462,73,141,V2a_Cord1
771,462,101,65,V2a_Cord1
772,462,95,73,V2a_Cord1
773,462,105,58,V2a_Cord1
774,462,108,49,V2a_Cord1
775,462,101,65,V2a_Cord1
776,462,99,68,V2a_Cord1
777,462,107,51,V2a_Cord1
778,462,84,95,V2a_Cord1
779,462,104,58,V2a_Cord1
780,462,82,121,V2a_Cord1
781,462,90,76,V2a_Cord1
782,462,83,97,V2a_Cord1
783,462,85,80,V2a_Cord1
784,462,83,102,V2a_Cord1
785,462,58,141,V2a_Cord1
786,462,101,63,V2a_Cord1
787,462,80,88,V2a_Cord1
788,462,79,122,V2a_Cord1
789,462,66,134,V2a_Cord1
790,462,81,118,V2a_Cord1
791,462,81,112,V2a_Cord1
792,462,72,125,V2a_Cord1
793,462,101,26,V2a_Cord1
794,462,66,130,V2a_Cord1
795,462,74,93,V2a_Cord1
796,462,76,80,V2a_Cord1
797,462,88,74,V2a_Cord1
798,462,70,92,V2a_Cord1
799,462,97,36,V2a_Cord1
800,462,87,50,V2a_Cord1
801,462,87,48,V2a_Cord1
802,464,115,143,V2a_Cord1
803,464,115,182,V2a_Cord1
804,464,110,162,V2a_Cord1
805,464,109,167,V2a_Cord1
806,464,107,162,V2a_Cord1
807,464,111,181,V2a_Cord1
808,464,105,159,V2a_Cord1
809,464,105,161,V2a_Cord1
810,464,103,156,V2a_Cord1
811,464,103,158,V2a_Cord1
812,464,107,184,V2a_Cord1
813,464,107,174,V2a_Cord1
814,464,109,77,V2a_Cord1
815,464,106,170,V2a_Cord1
816,464,106,177,V2a_Cord1
817,464,104,165,V2a_Cord1
818,464,103,166,V2a_Cord1
819,464,120,57,V2a_Cord1
