,z,x,y,population_key
475,489,92,92,V2b_Cord1
476,489,90,52,V2b_Cord1
477,489,87,129,V2b_Cord1
478,489,80,171,V2b_Cord1
479,489,83,137,V2b_Cord1
480,489,88,92,V2b_Cord1
481,489,69,182,V2b_Cord1
482,489,90,37,V2b_Cord1
483,489,79,79,V2b_Cord1
484,489,77,125,V2b_Cord1
485,491,111,60,V2b_Cord1
486,491,109,170,V2b_Cord1
487,491,115,49,V2b_Cord1
488,491,111,195,V2b_Cord1
489,491,109,180,V2b_Cord1
490,491,107,195,V2b_Cord1
491,491,103,164,V2b_Cord1
492,491,97,145,V2b_Cord1
493,491,103,58,V2b_Cord1
494,491,104,55,V2b_Cord1
495,491,100,93,V2b_Cord1
496,491,98,66,V2b_Cord1
497,491,94,151,V2b_Cord1
498,491,97,75,V2b_Cord1
499,491,94,133,V2b_Cord1
500,491,94,75,V2b_Cord1
501,491,96,125,V2b_Cord1
502,491,93,134,V2b_Cord1
503,491,90,150,V2b_Cord1
504,491,90,165,V2b_Cord1
505,491,92,77,V2b_Cord1
506,491,88,164,V2b_Cord1
507,491,87,147,V2b_Cord1
508,491,100,45,V2b_Cord1
509,491,86,159,V2b_Cord1
510,491,93,121,V2b_Cord1
511,491,93,55,V2b_Cord1
512,491,103,31,V2b_Cord1
513,491,88,77,V2b_Cord1
514,491,89,68,V2b_Cord1
515,491,87,68,V2b_Cord1
516,491,87,109,V2b_Cord1
517,491,85,68,V2b_Cord1
518,491,86,109,V2b_Cord1
519,491,81,116,V2b_Cord1
520,491,69,160,V2b_Cord1
521,491,79,99,V2b_Cord1
522,491,79,78,V2b_Cord1
523,491,79,92,V2b_Cord1
524,491,65,74,V2b_Cord1
525,491,58,69,V2b_Cord1
526,493,114,170,V2b_Cord1
527,493,112,184,V2b_Cord1
528,493,108,194,V2b_Cord1
529,493,108,192,V2b_Cord1
530,493,109,186,V2b_Cord1
531,493,104,196,V2b_Cord1
532,493,99,183,V2b_Cord1
533,493,91,190,V2b_Cord1
534,493,99,171,V2b_Cord1
535,493,92,181,V2b_Cord1
536,493,84,183,V2b_Cord1
537,493,91,154,V2b_Cord1
538,493,78,175,V2b_Cord1
539,493,85,167,V2b_Cord1
540,493,84,164,V2b_Cord1
541,493,86,153,V2b_Cord1
542,493,91,130,V2b_Cord1
543,493,104,68,V2b_Cord1
544,493,80,135,V2b_Cord1
545,493,73,145,V2b_Cord1
546,493,80,122,V2b_Cord1
547,493,91,79,V2b_Cord1
548,493,90,84,V2b_Cord1
549,493,92,69,V2b_Cord1
550,493,89,85,V2b_Cord1
551,493,79,117,V2b_Cord1
552,493,86,94,V2b_Cord1
553,493,87,87,V2b_Cord1
554,493,113,30,V2b_Cord1
555,493,101,44,V2b_Cord1
556,493,83,100,V2b_Cord1
557,493,78,107,V2b_Cord1
558,493,78,105,V2b_Cord1
559,493,66,129,V2b_Cord1
560,493,96,47,V2b_Cord1
561,493,48,144,V2b_Cord1
562,493,106,29,V2b_Cord1
563,493,99,38,V2b_Cord1
564,493,85,62,V2b_Cord1
565,493,91,43,V2b_Cord1
566,493,73,101,V2b_Cord1
567,493,96,34,V2b_Cord1
568,493,71,74,V2b_Cord1
569,495,108,81,V2b_Cord1
570,495,109,54,V2b_Cord1
571,495,112,37,V2b_Cord1
572,495,115,170,V2b_Cord1
573,495,108,152,V2b_Cord1
574,495,98,25,V2b_Cord1
575,495,112,171,V2b_Cord1
576,495,97,47,V2b_Cord1
577,495,98,32,V2b_Cord1
578,495,117,190,V2b_Cord1
579,495,114,188,V2b_Cord1
580,495,90,30,V2b_Cord1
581,495,91,76,V2b_Cord1
582,495,106,166,V2b_Cord1
583,495,89,38,V2b_Cord1
584,495,88,55,V2b_Cord1
585,495,110,190,V2b_Cord1
586,495,87,56,V2b_Cord1
587,495,87,61,V2b_Cord1
588,495,87,46,V2b_Cord1
