z,x,y
716,94,61
493,104,131
433,59,148
30,101,98
519,75,115
202,111,86
39,49,185
358,86,104
623,90,152
534,92,127
52,89,86
468,68,115
560,86,111
76,107,77
31,80,62
623,102,66
517,71,119
192,40,70
72,47,67
528,87,118
225,93,103
38,97,124
275,81,114
139,94,80
264,88,114
489,78,106
94,102,158
287,99,124
604,79,119
593,99,167
39,58,191
328,23,83
440,90,88
479,92,102
379,112,64
230,102,86
544,96,83
461,74,109
460,92,128
495,86,91
326,96,134
229,120,139
197,42,140
181,94,106
243,104,126
219,95,163
252,87,103
641,85,127
657,89,69
554,64,72
298,83,122
772,73,111
282,67,109
444,88,104
67,72,108
771,37,151
695,83,126
141,75,123
192,90,114
686,86,102
778,79,116
630,83,116
82,99,127
556,89,82
436,95,150
485,49,81
108,106,79
370,108,166
354,100,137
590,82,117
445,38,160
100,111,68
224,96,124
788,90,136
556,81,113
142,93,87
768,100,92
274,92,83
779,81,116
138,105,139
395,61,113
330,106,62
281,97,85
570,98,88
285,66,118
46,40,147
395,91,160
722,33,155
780,83,86
456,61,102
475,38,71
7,109,85
66,106,149
246,110,79
600,68,109
402,107,96
80,95,142
164,94,89
656,77,117
281,89,119
2,106,83
602,85,101
119,108,138
686,80,108
359,102,68
264,91,89
233,39,172
412,90,109
214,91,163
772,75,119
239,63,114
64,30,52
389,95,120
90,77,149
650,70,119
273,86,76
224,109,128
387,36,77
643,83,105
147,59,62
713,106,138
234,60,175
780,91,99
554,91,153
323,38,71
415,72,119
755,73,124
198,45,49
681,91,82
423,80,105
107,87,101
771,83,117
79,100,90
672,82,104
478,90,84
37,116,133
118,95,147
736,77,115
753,84,118
139,85,122
216,43,58
120,74,112
601,82,71
349,87,102
655,80,111
428,86,116
565,96,172
105,108,86
2,100,128
784,82,109
173,108,89
575,85,114
668,65,106
187,29,157
311,70,163
615,74,118
488,98,92
20,97,127
273,94,110
323,36,37
249,122,74
661,79,123
0,35,149
134,90,117
237,111,145
223,108,141
575,93,147
152,124,63
733,90,129
720,88,126
188,32,72
389,72,123
554,82,97
644,86,118
650,88,120
438,90,96
621,82,103
309,91,89
372,95,144
50,105,80
466,77,109
700,41,157
549,100,69
682,87,123
485,106,49
25,103,174
148,90,118
479,88,102
3,107,60
686,83,75
111,76,106
96,105,169
26,76,112
362,89,109
296,113,152
636,76,107
408,94,122
510,80,113
148,98,100
109,108,60
72,51,193
421,81,108
335,94,117
145,93,50
565,101,56
168,123,63
350,84,110
17,102,139
328,86,114
213,119,86
497,96,45
150,105,92
443,75,115
253,104,93
120,110,90
69,62,111
284,104,129
107,100,128
694,89,136
181,47,69
50,85,106
270,105,86
204,107,129
596,74,115
347,85,114
104,82,107
248,107,84
125,24,139
780,95,146
392,91,100
141,35,49
766,82,96
273,96,116
462,104,188
293,93,126
3,30,87
789,98,46
254,109,147
50,58,51
301,98,123
626,90,94
620,95,76
669,104,69
755,83,117
698,86,126
207,84,115
776,81,121
562,87,102
321,90,123
196,34,57
56,84,122
131,103,72
148,67,116
92,91,118
693,88,83
253,109,141
267,106,79
357,101,72
364,102,76
253,102,94
282,91,103
301,102,146
637,116,54
744,99,143
292,86,123
330,101,57
35,92,121
236,67,100
639,96,158
776,94,84
330,103,35
306,57,105
293,105,92
224,102,135
78,77,113
583,86,124
628,97,76
290,95,116
229,97,160
185,98,124
62,108,80
34,62,123
690,36,166
637,89,157
644,84,105
724,72,96
217,107,64
595,91,124
430,87,120
425,93,117
232,89,111
669,76,112
318,80,116
437,90,118
504,108,74
586,73,115
645,69,113
149,90,104
438,93,120
85,67,106
85,123,88
584,96,78
40,54,201
728,75,114
436,90,90
106,56,144
121,67,107
616,74,111
774,75,114
581,101,131
148,114,137
42,85,118
171,92,118
493,71,114
237,76,112
294,92,110
768,44,66
136,102,126
368,90,118
592,84,131
515,84,114
390,62,161
554,90,117
539,96,134
100,66,109
598,83,105
603,79,117
209,64,109
477,85,76
285,80,136
683,95,86
122,123,87
179,38,47
334,69,111
177,106,86
192,17,143
638,97,136
328,87,113
223,41,189
435,100,198
308,106,138
635,70,115
450,85,170
592,64,117
478,93,104
169,87,111
211,104,48
565,99,55
732,85,116
433,91,100
640,83,116
55,36,188
707,101,81
482,78,112
658,98,66
201,109,82
544,73,113
236,31,82
741,80,118
395,70,116
52,109,65
244,84,117
487,79,105
53,91,94
755,90,66
213,99,103
76,115,142
280,99,83
568,88,72
437,81,75
253,83,84
301,81,117
409,115,179
138,85,115
434,81,111
507,65,118
278,93,113
690,94,75
2,34,166
665,117,188
585,59,158
28,33,160
375,84,113
457,82,114
614,96,143
634,74,104
575,101,135
458,90,91
441,90,100
782,60,76
712,74,105
154,46,152
722,61,116
402,100,154
678,33,72
709,87,105
325,42,149
781,45,71
484,99,139
585,78,109
153,91,113
197,112,87
310,101,82
65,100,150
143,63,117
268,105,90
87,88,119
502,22,75
183,108,135
226,28,45
27,101,92
209,30,179
228,109,141
459,26,153
290,113,91
613,89,167
114,102,96
447,93,129
687,67,110
390,100,83
317,80,108
321,81,120
154,99,89
639,89,75
699,62,68
186,34,189
102,95,80
251,79,117
238,29,162
234,41,148
644,98,127
773,36,57
725,91,126
224,123,79
538,85,106
217,36,57
509,99,172
566,84,104
426,72,108
128,98,96
359,91,134
529,96,131
671,91,147
465,91,119
649,87,119
188,107,91
475,90,114
329,80,104
785,45,83
678,85,134
109,30,165
523,77,119
0,99,79
450,89,138
682,83,119
432,96,135
625,82,120
597,90,103
536,98,69
201,92,171
94,64,120
453,80,100
665,67,109
177,83,109
168,92,115
60,108,157
107,25,90
43,102,49
75,85,107
275,101,144
121,92,108
258,96,94
175,24,58
488,74,108
228,101,163
714,93,95
635,71,112
654,103,170
510,87,112
104,73,112
356,88,160
672,33,60
712,90,143
736,86,82
280,88,124
449,74,121
284,92,113
563,105,62
477,89,120
735,90,65
205,102,93
499,86,101
95,47,195
733,83,112
160,109,87
789,93,140
307,97,128
454,94,143
621,32,88
41,84,130
50,102,139
238,80,128
139,56,120
47,63,151
263,104,136
324,113,149
430,90,46
282,55,138
494,33,67
681,83,107
660,45,160
297,82,98
442,115,87
428,83,108
160,88,109
714,83,173
688,80,120
394,89,101
218,92,166
181,111,86
520,78,114
397,66,108
606,66,110
181,93,124
714,101,177
311,99,125
331,77,109
786,52,135
547,91,69
239,59,94
213,98,63
593,100,65
109,33,41
677,71,120
282,114,144
25,84,118
643,91,122
506,75,96
215,107,136
153,103,73
702,105,81
667,33,127
281,97,150
514,72,116
58,24,72
254,93,108
176,36,151
340,66,116
360,100,81
426,112,190
461,85,92
229,95,117
317,102,134
231,54,173
547,86,101
162,102,131
34,54,45
609,97,162
574,86,125
497,96,144
254,100,101
788,89,130
367,82,110
450,74,136
302,63,113
34,98,174
406,91,157
454,66,124
251,95,112
666,80,112
218,114,144
150,25,46
482,109,156
208,103,126
323,106,90
785,82,117
150,83,126
589,74,117
785,94,98
135,74,127
152,107,83
612,111,154
