z,x,y
231,80,149
673,102,28
283,99,102
150,112,145
146,94,68
184,74,84
461,68,85
773,102,76
155,97,148
626,103,177
70,92,65
175,86,65
577,79,97
418,85,70
659,78,173
569,77,193
528,89,182
355,93,119
435,61,142
647,73,41
124,75,54
637,101,34
722,89,160
569,89,188
158,86,68
419,77,92
756,58,53
231,94,57
638,71,47
733,69,152
58,92,65
67,74,142
75,126,80
132,64,78
595,89,171
245,102,66
584,75,97
527,72,136
140,81,153
249,77,149
147,47,75
301,60,169
390,75,125
424,70,40
218,77,165
151,96,70
736,74,175
203,101,137
174,98,166
667,123,47
423,114,158
491,64,59
744,68,162
321,97,74
297,76,57
592,92,183
159,102,138
754,86,146
170,121,140
178,66,139
292,98,100
582,76,149
260,84,64
710,100,170
661,83,143
718,77,48
754,78,51
366,97,124
715,76,173
782,86,75
75,123,84
740,72,177
769,100,163
578,91,103
249,63,79
608,101,192
189,103,69
477,75,179
293,72,58
635,93,170
128,111,153
140,80,58
541,94,175
102,102,72
411,86,72
260,94,75
61,96,68
786,97,154
259,71,179
655,86,115
647,116,63
70,118,60
703,85,76
227,66,99
323,85,78
345,78,68
141,113,81
230,75,171
74,94,161
121,78,61
745,87,172
660,92,51
510,102,188
614,105,189
522,90,48
265,67,66
290,102,100
570,74,45
638,64,163
305,83,76
424,86,31
295,105,152
698,96,169
102,117,70
502,114,154
219,96,54
699,98,63
637,88,118
237,109,92
186,93,154
695,98,139
774,83,82
97,84,73
681,84,164
164,66,46
778,101,162
694,62,158
246,72,49
673,81,195
311,78,63
704,110,64
673,103,44
143,79,84
577,74,144
184,123,72
680,80,150
766,95,76
211,100,64
641,74,66
705,71,163
222,94,59
124,89,167
0,0,0
166,95,70
642,78,176
311,111,57
241,104,56
711,92,165
568,74,164
147,78,60
296,95,163
637,93,149
321,66,86
133,114,73
176,90,106
714,111,194
263,126,157
186,86,149
239,104,80
80,102,69
266,90,62
586,80,67
127,85,62
186,89,70
209,100,77
689,90,171
690,98,161
226,89,168
0,0,0
666,88,65
652,91,29
256,60,82
607,73,147
0,0,0
221,78,136
553,76,40
627,81,189
680,106,77
434,99,90
95,107,71
86,71,145
734,69,99
254,53,153
526,74,83
320,107,166
689,92,167
322,74,68
166,100,66
408,95,190
381,79,66
233,97,66
335,87,40
278,122,159
638,117,61
80,98,75
204,103,172
596,71,165
719,113,178
73,73,163
310,93,162
206,110,70
522,86,184
535,87,38
268,65,128
702,65,57
229,90,62
694,65,175
585,67,142
218,89,163
215,59,150
90,74,69
775,89,74
767,77,60
663,67,139
395,69,140
748,93,136
716,89,73
517,116,171
627,78,155
578,76,186
605,82,159
367,95,35
391,107,188
97,86,174
640,84,195
80,97,68
565,68,82
226,118,75
234,85,163
247,92,150
512,105,52
617,64,82
484,87,153
146,61,88
201,84,43
742,83,149
63,72,150
156,89,117
659,67,56
167,80,74
430,77,45
503,119,68
90,78,169
335,108,181
744,100,89
132,119,148
257,84,62
420,95,158
355,76,184
369,93,40
220,105,158
730,75,172
0,90,151
603,81,152
431,94,122
293,65,162
146,72,57
564,75,84
331,49,71
726,101,72
358,121,166
298,109,78
581,74,96
778,74,39
468,118,42
579,86,180
222,99,91
748,85,86
732,106,160
328,105,162
739,70,127
200,115,156
272,106,75
156,96,45
778,74,132
94,110,76
659,87,179
155,52,70
386,86,71
376,74,144
659,118,45
194,95,123
175,108,145
529,77,172
317,118,161
102,87,70
620,71,104
0,0,0
66,80,84
739,96,154
773,94,82
432,78,185
266,92,154
729,74,125
311,96,137
784,83,171
74,70,90
145,108,150
141,121,75
189,73,58
93,115,155
119,101,97
432,69,153
759,69,157
0,0,0
262,93,118
105,77,80
522,100,30
184,90,65
605,114,200
158,109,165
154,84,174
166,102,78
125,62,136
525,80,113
399,69,100
744,94,153
307,72,131
625,101,198
246,104,49
659,81,58
162,101,86
702,112,165
581,70,63
569,117,168
789,71,77
177,94,47
46,70,72
714,84,58
328,100,165
139,101,142
390,108,171
0,0,0
38,87,108
320,111,74
548,98,128
763,66,59
594,67,172
629,22,66
751,77,109
181,104,70
323,85,134
548,90,106
284,86,179
784,107,76
99,119,77
120,76,79
745,99,146
37,108,66
77,94,159
693,91,167
464,80,153
747,72,63
179,100,154
105,94,174
467,73,180
372,91,192
390,91,180
330,111,138
716,66,86
600,84,184
113,98,163
322,115,62
478,93,138
147,114,75
273,69,66
714,102,170
556,73,135
319,89,58
672,84,183
116,99,69
360,70,81
743,79,149
714,105,56
707,98,84
106,91,59
340,125,159
298,64,152
789,96,96
731,75,65
340,79,80
714,64,51
342,98,158
761,67,174
536,67,143
242,104,93
108,106,70
315,84,86
154,82,175
384,108,32
522,88,153
517,76,146
757,105,144
138,104,140
