z,x,y
665,71,135
394,24,179
294,59,147
617,76,106
484,72,48
526,67,78
780,105,143
469,103,32
702,80,87
162,39,163
239,68,141
691,81,65
563,76,178
132,100,130
684,74,64
246,99,94
78,64,72
224,67,92
513,99,48
405,80,140
458,100,164
277,64,144
545,91,39
455,114,51
786,84,68
639,58,142
314,101,140
472,102,159
49,78,110
609,107,31
212,69,116
350,103,54
719,85,92
64,71,70
670,73,151
28,67,149
399,96,67
784,90,79
205,65,81
149,98,88
225,71,131
765,87,137
759,87,180
752,77,97
13,51,67
431,106,154
207,51,75
473,75,93
787,62,138
622,52,84
9,78,80
97,83,138
333,111,62
639,70,127
273,89,88
121,71,157
725,72,86
448,97,38
126,73,148
109,65,141
212,116,147
342,119,159
441,84,90
484,106,161
602,81,84
713,97,144
213,90,74
80,84,122
698,77,126
424,101,131
116,94,137
273,93,142
0,0,0
464,85,75
451,81,129
564,74,54
556,94,185
381,76,138
72,85,64
762,80,100
538,77,152
535,85,92
543,97,152
262,83,139
340,76,49
467,98,173
368,97,44
693,78,106
32,70,152
465,104,156
420,90,154
327,76,90
373,81,59
42,63,139
713,93,80
463,104,172
488,103,179
617,110,55
223,64,85
303,53,144
600,76,67
142,82,130
384,78,160
279,86,76
501,86,125
746,71,129
583,86,53
78,85,95
603,85,167
403,93,130
472,88,142
505,99,69
440,85,150
744,71,147
175,70,133
669,105,80
354,102,40
582,93,47
488,98,182
741,77,89
729,106,143
538,84,38
687,77,131
55,83,102
176,98,146
473,86,110
439,85,86
509,80,146
82,76,154
428,105,67
351,93,60
300,81,137
611,67,89
333,105,191
271,113,85
438,119,51
211,91,98
662,84,96
237,72,148
263,79,101
682,77,131
323,116,82
425,88,110
673,77,88
758,64,141
121,48,63
711,70,139
439,103,151
195,80,84
774,93,143
590,87,42
89,52,60
482,78,111
391,78,83
734,59,90
250,81,143
299,79,61
147,74,68
388,62,155
219,75,161
682,46,72
617,87,55
90,38,170
767,88,140
644,86,81
323,71,88
552,84,99
398,78,146
701,73,85
422,83,136
447,109,54
680,77,86
559,81,103
376,113,184
436,99,66
264,77,140
181,82,79
377,52,58
253,68,133
713,75,138
46,89,141
759,84,88
636,100,67
600,105,182
429,74,114
672,108,178
477,102,43
618,101,30
748,95,35
121,93,91
461,84,128
287,79,74
42,76,62
150,101,94
408,101,76
264,69,146
676,83,86
457,112,167
787,81,137
59,121,84
107,73,69
407,118,181
700,84,169
36,78,130
456,98,43
317,92,136
576,70,107
128,12,72
215,107,133
156,47,158
90,62,75
703,91,57
447,109,174
688,74,96
558,45,54
197,91,136
474,102,172
516,85,117
517,33,169
73,84,88
482,63,64
633,81,128
181,84,132
324,123,70
606,90,100
433,94,138
215,87,123
718,34,171
102,52,47
298,54,148
463,93,97
403,106,54
587,97,64
0,0,0
288,73,109
692,87,65
747,78,147
547,111,43
74,63,135
0,0,0
35,66,142
73,84,139
410,87,75
693,82,86
129,68,163
567,85,131
419,88,137
127,90,141
570,80,131
346,94,138
318,117,80
753,77,69
578,94,72
67,33,167
339,107,72
778,70,119
92,119,137
300,75,82
466,109,169
390,101,172
750,78,160
256,106,141
615,77,74
776,84,155
295,102,133
576,79,97
133,78,148
759,83,102
358,82,92
31,64,159
315,106,143
750,95,135
209,108,61
1,95,78
379,99,192
774,84,84
678,78,167
157,67,162
596,77,149
343,85,162
789,89,145
11,63,146
67,73,84
671,82,119
750,80,139
232,77,134
79,120,84
678,47,161
100,69,156
305,73,140
731,73,102
256,71,146
583,74,71
331,65,111
457,115,163
680,76,148
436,90,76
461,79,67
753,54,148
508,70,82
546,37,149
96,69,137
109,72,149
593,79,79
576,81,91
326,123,142
468,100,152
770,51,141
368,119,53
290,95,135
608,79,131
352,82,88
730,79,104
718,78,142
95,91,146
738,85,141
456,102,63
39,77,120
105,96,82
581,72,146
431,92,174
408,114,48
74,101,80
727,69,101
745,73,86
749,76,142
731,81,103
199,87,138
304,18,167
578,77,146
452,111,36
743,71,112
466,112,75
70,77,133
557,101,43
234,71,145
0,0,0
8,99,147
447,79,74
398,97,67
633,81,135
678,77,73
375,102,71
101,80,126
252,77,130
327,90,139
727,64,82
94,124,80
647,87,192
101,79,124
552,85,84
308,80,74
273,111,46
335,113,169
648,68,86
173,86,85
355,99,73
268,70,82
762,69,64
99,54,78
502,84,149
369,87,103
418,109,53
208,92,135
401,94,69
559,100,157
81,78,111
510,86,133
687,71,144
242,87,145
466,117,38
620,82,128
489,105,50
36,79,64
738,74,135
623,102,190
400,103,44
62,64,74
788,87,172
269,107,138
433,105,159
555,87,65
613,102,143
372,121,157
759,72,127
425,107,141
763,48,148
189,61,72
0,0,0
288,58,79
295,76,144
432,81,131
606,82,154
394,94,99
375,107,158
724,63,141
560,81,94
544,91,143
664,43,58
631,99,86
616,72,123
103,72,136
438,113,176
174,113,137
400,101,181
216,81,141
550,67,140
292,85,135
350,90,189
122,113,84
228,74,95
487,46,70
95,72,152
137,84,89
324,112,74
202,99,146
628,89,165
45,31,171
510,90,127
291,80,137
336,101,37
507,76,33
673,85,79
499,85,74
524,103,149
695,95,60
702,73,86
577,99,64
342,91,169
108,86,140
332,80,146
488,85,69
370,81,162
110,44,162
230,67,136
774,100,141
775,61,128
619,107,156
522,73,81
494,81,172
268,61,147
279,98,77
584,83,122
389,106,74
56,67,144
510,77,173
192,67,81
312,98,86
187,82,92
103,82,90
694,78,65
258,60,146
293,79,96
289,65,140
479,98,82
779,74,124
578,77,80
665,61,69
283,79,140
600,90,140
718,72,111
268,79,138
603,100,67
377,76,110
163,70,77
274,80,78
110,66,62
168,93,96
151,58,71
79,99,124
363,94,162
602,96,155
449,115,47
600,98,78
514,102,49
169,57,81
29,95,71
75,125,155
583,65,154
517,90,93
500,95,170
575,83,66
516,97,131
70,87,107
558,116,47
711,76,94
433,96,155
607,79,82
126,88,89
780,86,86
470,94,72
417,93,84
477,111,33
487,102,187
310,73,87
200,59,111
732,72,132
245,63,142
305,98,120
442,107,54
431,106,61
507,99,170
453,102,151
178,66,149
17,76,75
475,97,72
29,100,143
168,68,137
480,105,160
434,107,179
541,102,159
644,95,70
105,65,147
310,60,82
130,100,142
416,87,86
572,70,139
101,94,103
0,0,0
332,98,73
773,72,87
723,65,77
351,103,161
750,74,154
87,97,87
323,109,60
507,88,168
166,60,74
610,103,177
208,82,147
771,88,144
43,72,146
450,113,172
448,90,182
164,73,83
